ASBID,CATEGORY,PROPERTY,OBJECT,DATATYPE
MB0V4SIZ,,BEMERK2,0,text
MB0V4SIZ,,BEMERK3,0,text
MB0V4SIZ,,BEMERK4,0,text
MB0V4SIZ,,BEMERK5,0,text
MB0V4SIZ,,BEMERK6,0,text
MB0V4SIZ,,BWNR,B115,
MB0V4SIZ,,TEIL_BWNR,0,
MB0V4SIZ,,IBWNR,B115,
MB0V4SIZ,,IDENT,MB0V4SIZ,
MB0V4SIZ,,AMT,533,text
MB0V4SIZ,,PRUFJAHR,2019,year
MB0V4SIZ,,PRA,H,
MB0V4SIZ,,TEXT,"***, Maßnahme {6}",text
MB0V4SIZ,,BILD,\SCHRAUBEN DER SCHLAUCHSCHELLEN STARK VERROSTET.JPG,
MB0V4SIZ,,KONT_JN,2,
MB0V4SIZ,,NOT_KONST,0,
MB0V4SIZ,,KONVERT,0,
MB0V4SIZ,,SCHAD_ID,45.0,
MB0V4SIZ,,BSP_ID,252-01,
MB0V4SIZ,,BAUTLGRUP,390022220000000,
MB0V4SIZ,,DETAILKONT,0,
MD0UEGZB,,ID_NR,B115    0,
MD0UEGZB,,LFDNR,63.0,
MD0UEGZB,,BAUTEIL,130011151000000,
MD0UEGZB,,KONTEIL,130022121112300,
MD0UEGZB,,ZWGRUPPE,0,
MD0UEGZB,,SCHADEN,130041230000000,
MD0UEGZB,,MENGE_ALL,130052400000000,
MD0UEGZB,,MENGE_DI,0,
MD0UEGZB,,UEBERBAU,130071000000000,
MD0UEGZB,,FELD,0,
MD0UEGZB,,LAENGS,0,
MD0UEGZB,,QUER,130101300000000,
MD0UEGZB,,HOCH,0,
MD0UEGZB,,BEWERT_D,1,
MD0UEGZB,,BEWERT_V,0,
MD0UEGZB,,BEWERT_S,1,
MD0UEGZB,,S_VERAEND,0,
MD0UEGZB,,BEMERK1,0,text
MD0UEGZB,,BEMERK2,0,text
MD0UEGZB,,BEMERK3,0,text
MD0UEGZB,,BEMERK4,0,text
MD0UEGZB,,BEMERK5,0,text
MD0UEGZB,,BEMERK6,0,text
MD0UEGZB,,BWNR,B115,
MD0UEGZB,,TEIL_BWNR,0,
MD0UEGZB,,IBWNR,B115,
MD0UEGZB,,IDENT,MD0UEGZB,
MD0UEGZB,,AMT,533,text
MD0UEGZB,,PRUFJAHR,2019,year
MD0UEGZB,,PRA,H,
MD0UEGZB,,TEXT,Pfostenverguss bricht an Rändern ab und liegt hier lokal hohl ,text
MD0UEGZB,,BILD,\PFOSTENVERGUSS AM RAND HOHLLIEGEND.JPG,
MD0UEGZB,,KONT_JN,2,
MD0UEGZB,,NOT_KONST,0,
MD0UEGZB,,KONVERT,0,
MD0UEGZB,,SCHAD_ID,102.0,
MD0UEGZB,,BSP_ID,231-23,
MD0UEGZB,,BAUTLGRUP,390022210000000,
MD0UEGZB,,DETAILKONT,0,
MD0UHWZU,,ID_NR,B115    0,
MD0UHWZU,,LFDNR,67.0,
MD0UHWZU,,BAUTEIL,130011151000000,
MD0UHWZU,,KONTEIL,0,
MD0UHWZU,,ZWGRUPPE,130031100000000,
MD0UHWZU,,SCHADEN,130043343000000,
MD0UHWZU,,MENGE_ALL,130053500000000,
MD0UHWZU,,MENGE_DI,0,
MD0UHWZU,,UEBERBAU,130071000000000,
MD0UHWZU,,FELD,0,
MD0UHWZU,,LAENGS,130091320000000,
MD0UHWZU,,QUER,0,
MD0UHWZU,,HOCH,0,
MD0UHWZU,,BEWERT_D,2,
MD0UHWZU,,BEWERT_V,0,
MD0UHWZU,,BEWERT_S,1,
MD0UHWZU,,S_VERAEND,0,
MD0UHWZU,,BEMERK1,0,text
MD0UHWZU,,BEMERK2,0,text
MD0UHWZU,,BEMERK3,0,text
MD0UHWZU,,BEMERK4,0,text
MD0UHWZU,,BEMERK5,0,text
MD0UHWZU,,BEMERK6,0,text
MD0UHWZU,,BWNR,B115,
MD0UHWZU,,TEIL_BWNR,0,
MD0UHWZU,,IBWNR,B115,
MD0UHWZU,,IDENT,MD0UHWZU,
MD0UHWZU,,AMT,533,text
MD0UHWZU,,PRUFJAHR,2019,year
MD0UHWZU,,PRA,H,
MD0UHWZU,,TEXT,Ausbesserungsbeton,text
MD0UHWZU,,BILD,\KRAGMARM HINTEN - BETON BRÜCHIG.JPG,
MD0UHWZU,,KONT_JN,2,
MD0UHWZU,,NOT_KONST,0,
MD0UHWZU,,KONVERT,0,
MD0UHWZU,,SCHAD_ID,126.0,
MD0UHWZU,,BSP_ID,002-04,
MD0UHWZU,,BAUTLGRUP,390021100000000,
MD0UHWZU,,DETAILKONT,0,
ZO126TBE,,ID_NR,B115    0,
ZO126TBE,,BAUTEIL,130011151000000,
ZO126TBE,,KONTEIL,130021800000000,
ZO126TBE,,ZWGRUPPE,130031100000000,
ZO126TBE,,SCHADEN,130044320000000,
ZO126TBE,,MENGE_ALL,130051800000000,
ZO126TBE,,MENGE_DI,0,
ZO126TBE,,UEBERBAU,130071000000000,
ZO126TBE,,FELD,0,
ZO126TBE,,LAENGS,0,
ZO126TBE,,QUER,130101300000000,
ZO126TBE,,HOCH,0,
ZO126TBE,,BEWERT_D,1,
ZO126TBE,,BEWERT_V,0,
ZO126TBE,,BEWERT_S,0,
ZO126TBE,,S_VERAEND,0,
ZO126TBE,,BEMERK1,0,text
ZO126TBE,,BEMERK2,0,text
ZO126TBE,,BEMERK3,0,text
ZO126TBE,,BEMERK4,0,text
ZO126TBE,,BEMERK5,0,text
ZO126TBE,,BEMERK6,0,text
ZO126TBE,,BWNR,B115,
ZO126TBE,,TEIL_BWNR,0,
ZO126TBE,,IBWNR,B115,
ZO126TBE,,IDENT,ZO126TBE,
ZO126TBE,,AMT,533,text
ZO126TBE,,PRUFJAHR,2013,year
ZO126TBE,,PRA,H,
ZO126TBE,,TEXT, ,text
ZO126TBE,,BILD,\KAPPE -3- 2013.JPG,
ZO126TBE,,KONT_JN,2,
ZO126TBE,,NOT_KONST,0,
ZO126TBE,,KONVERT,0,
ZO126TBE,,SCHAD_ID,77.0,
ZO126TBE,,BSP_ID,230-99,
ZO126TBE,,BAUTLGRUP,390022180000000,
ZO126TBE,,DETAILKONT,0,
4B0W1X5H,,ID_NR,B115    0,
4B0W1X5H,,LFDNR,41.0,
4B0W1X5H,,BAUTEIL,130011920000000,
4B0W1X5H,,KONTEIL,130021528210000,
4B0W1X5H,,ZWGRUPPE,0,
4B0W1X5H,,SCHADEN,130045120000000,
4B0W1X5H,,MENGE_ALL,130051400000000,
4B0W1X5H,,MENGE_DI,0,
4B0W1X5H,,UEBERBAU,130071000000000,
4B0W1X5H,,FELD,0,
4B0W1X5H,,LAENGS,0,
4B0W1X5H,,QUER,0,
4B0W1X5H,,HOCH,0,
4B0W1X5H,,BEWERT_D,2,
4B0W1X5H,,BEWERT_V,0,
4B0W1X5H,,BEWERT_S,1,
4B0W1X5H,,S_VERAEND,0,
4B0W1X5H,,BEMERK1,0,text
4B0W1X5H,,BEMERK2,0,text
4B0W1X5H,,BEMERK3,0,text
4B0W1X5H,,BEMERK4,0,text
4B0W1X5H,,BEMERK5,0,text
4B0W1X5H,,BEMERK6,0,text
4B0W1X5H,,BWNR,B115,
4B0W1X5H,,TEIL_BWNR,0,
4B0W1X5H,,IBWNR,B115,
4B0W1X5H,,IDENT,4B0W1X5H,
4B0W1X5H,,AMT,533,text
4B0W1X5H,,PRUFJAHR,2007,year
4B0W1X5H,,PRA,H,
4B0W1X5H,,TEXT,auf den Pfeilern,text
4B0W1X5H,,BILD,\LAGER GERISSEN.JPG,
4B0W1X5H,,KONT_JN,2,
4B0W1X5H,,NOT_KONST,0,
4B0W1X5H,,KONVERT,0,
4B0W1X5H,,SCHAD_ID,41.0,
4B0W1X5H,,BSP_ID,213-02,
4B0W1X5H,,BAUTLGRUP,390022150000000,
4B0W1X5H,,DETAILKONT,0,
4B0W1X8G,,ID_NR,B115    0,
4B0W1X8G,,LFDNR,10.0,
4B0W1X8G,,BAUTEIL,130011912100000,
4B0W1X8G,,KONTEIL,0,
4B0W1X8G,,ZWGRUPPE,0,
4B0W1X8G,,SCHADEN,130046140000000,
4B0W1X8G,,MENGE_ALL,130052600000000,
4B0W1X8G,,MENGE_DI,0,
4B0W1X8G,,UEBERBAU,130071000000000,
4B0W1X8G,,FELD,130083100000000,
4B0W1X8G,,LAENGS,0,
4B0W1X8G,,QUER,130101300000000,
4B0W1X8G,,HOCH,0,
4B0W1X8G,,BEWERT_D,1,
4B0W1X8G,,BEWERT_V,0,
4B0W1X8G,,BEWERT_S,0,
4B0W1X8G,,S_VERAEND,0,
4B0W1X8G,,BEMERK1,0,text
4B0W1X8G,,BEMERK2,0,text
4B0W1X8G,,BEMERK3,0,text
4B0W1X8G,,BEMERK4,0,text
4B0W1X8G,,BEMERK5,0,text
4B0W1X8G,,BEMERK6,0,text
4B0W1X8G,,BWNR,B115,
4B0W1X8G,,TEIL_BWNR,0,
4B0W1X8G,,IBWNR,B115,
4B0W1X8G,,IDENT,4B0W1X8G,
4B0W1X8G,,AMT,533,text
4B0W1X8G,,PRUFJAHR,2004,year
4B0W1X8G,,PRA,E,
4B0W1X8G,,KONT_JN,0,
4B0W1X8G,,NOT_KONST,0,
4B0W1X8G,,KONVERT,0,
4B0W1X8G,,BAUTLGRUP,390021200000000,
4B0W1X8G,,DETAILKONT,0,
MB0THDX4,,ID_NR,B115    0,
MB0THDX4,,LFDNR,37.0,
MB0THDX4,,BAUTEIL,130011151100000,
MB0THDX4,,KONTEIL,0,
MB0THDX4,,ZWGRUPPE,130031100000000,
MB0THDX4,,SCHADEN,130045312000000,
MB0THDX4,,MENGE_ALL,130053500000000,
MB0THDX4,,MENGE_DI,0,
MB0THDX4,,UEBERBAU,130071000000000,
MB0THDX4,,FELD,0,
MB0THDX4,,LAENGS,130091100000000,
MB0THDX4,,QUER,130101110000000,
MB0THDX4,,HOCH,0,
MB0THDX4,,BEWERT_D,1,
MB0THDX4,,BEWERT_V,0,
MB0THDX4,,BEWERT_S,0,
MB0THDX4,,S_VERAEND,0,
MB0THDX4,,BEMERK1,0,text
MB0THDX4,,BEMERK2,0,text
MB0THDX4,,BEMERK3,0,text
MB0THDX4,,BEMERK4,0,text
MB0THDX4,,BEMERK5,0,text
MB0THDX4,,BEMERK6,0,text
MB0THDX4,,BWNR,B115,
MB0THDX4,,TEIL_BWNR,0,
MB0THDX4,,IBWNR,B115,
MB0THDX4,,IDENT,MB0THDX4,
MB0THDX4,,AMT,533,text
MB0THDX4,,PRUFJAHR,2019,year
MB0THDX4,,PRA,H,
MB0THDX4,,TEXT,Prüfung 2019H: Riss nicht gefunden ,text
MB0THDX4,,BILD,\RISS AM QUERTRÄGER VORNE 2013.JPG,
MB0THDX4,,KONT_JN,2,
MB0THDX4,,NOT_KONST,0,
MB0THDX4,,KONVERT,0,
MB0THDX4,,SCHAD_ID,52.0,
MB0THDX4,,BSP_ID,006-02-01,
MB0THDX4,,BAUTLGRUP,390021100000000,
MB0THDX4,,DETAILKONT,0,
MB0THYL8,,ID_NR,B115    0,
MB0THYL8,,LFDNR,38.0,
MB0THYL8,,BAUTEIL,130011151000000,
MB0THYL8,,KONTEIL,0,
MB0THYL8,,ZWGRUPPE,130031136100000,
MB0THYL8,,SCHADEN,130041220000000,
MB0THYL8,,MENGE_ALL,130052600000000,
MB0THYL8,,MENGE_DI,0,
MB0THYL8,,UEBERBAU,130071000000000,
MB0THYL8,,FELD,0,
MB0THYL8,,LAENGS,0,
MB0THYL8,,QUER,0,
MB0THYL8,,HOCH,130115600000000,
MB0THYL8,,BEWERT_D,1,
MB0THYL8,,BEWERT_V,0,
MB0THYL8,,BEWERT_S,0,
MB0THYL8,,S_VERAEND,0,
MB0THYL8,,BEMERK1,0,text
MB0THYL8,,BEMERK2,0,text
MB0THYL8,,BEMERK3,0,text
MB0THYL8,,BEMERK4,0,text
MB0THYL8,,BEMERK5,0,text
MB0THYL8,,BEMERK6,0,text
MB0THYL8,,BWNR,B115,
MB0THYL8,,TEIL_BWNR,0,
MB0THYL8,,IBWNR,B115,
MB0THYL8,,IDENT,MB0THYL8,
MB0THYL8,,AMT,533,text
MB0THYL8,,PRUFJAHR,2019,year
MB0THYL8,,PRA,H,
MB0THYL8,,TEXT," 1 Stützenreihe, mittlere Stütze",text
MB0THYL8,,BILD,\BINDEDRAHT AN DER BETONOBERFLÄCHE.JPG,
MB0THYL8,,KONT_JN,2,
MB0THYL8,,NOT_KONST,0,
MB0THYL8,,KONVERT,0,
MB0THYL8,,SCHAD_ID,3.0,
MB0THYL8,,BSP_ID,002-01,
MB0THYL8,,BAUTLGRUP,390021100000000,
MB0THYL8,,DETAILKONT,0,
MB0SFO1J,,ID_NR,B115    0,
MB0SFO1J,,LFDNR,34.0,
MB0SFO1J,,BAUTEIL,130011151400000,
MB0SFO1J,,KONTEIL,0,
MB0SFO1J,,ZWGRUPPE,130031100000000,
MB0SFO1J,,SCHADEN,130046120000000,
MB0SFO1J,,MENGE_ALL,130053500000000,
MB0SFO1J,,MENGE_DI,0,
MB0SFO1J,,UEBERBAU,130071000000000,
MB0SFO1J,,FELD,0,
MB0SFO1J,,LAENGS,130091100000000,
MB0SFO1J,,QUER,130101200000000,
MB0SFO1J,,HOCH,0,
MB0SFO1J,,BEWERT_D,2,
MB0SFO1J,,BEWERT_V,0,
MB0SFO1J,,BEWERT_S,0,
MB0SFO1J,,S_VERAEND,0,
MB0SFO1J,,BEMERK1,0,text
MB0SFO1J,,BEMERK2,0,text
MB0SFO1J,,BEMERK3,0,text
MB0SFO1J,,BEMERK4,0,text
MB0SFO1J,,BEMERK5,0,text
MB0SFO1J,,BEMERK6,0,text
MB0SFO1J,,BWNR,B115,
MB0SFO1J,,TEIL_BWNR,0,
MB0SFO1J,,IBWNR,B115,
MB0SFO1J,,IDENT,MB0SFO1J,
MB0SFO1J,,AMT,533,text
MB0SFO1J,,PRUFJAHR,2019,year
MB0SFO1J,,PRA,H,
MB0SFO1J,,TEXT,mit Rostspuren. Siehe auch Schaden [60],text
MB0SFO1J,,KONT_JN,2,
MB0SFO1J,,NOT_KONST,0,
MB0SFO1J,,KONVERT,0,
MB0SFO1J,,SCHAD_ID,130.0,
MB0SFO1J,,BSP_ID,002-09,
MB0SFO1J,,BAUTLGRUP,390021100000000,
MB0SFO1J,,DETAILKONT,0,
GA0VG7AN,,ID_NR,B115    0,
GA0VG7AN,,LFDNR,35.0,
GA0VG7AN,,BAUTEIL,130011151200000,
GA0VG7AN,,KONTEIL,0,
GA0VG7AN,,ZWGRUPPE,130031100000000,
GA0VG7AN,,SCHADEN,130043324000000,
GA0VG7AN,,MENGE_ALL,130053500000000,
GA0VG7AN,,MENGE_DI,0,
GA0VG7AN,,UEBERBAU,130071000000000,
GA0VG7AN,,FELD,130082100000000,
GA0VG7AN,,FELD_M,2.0,
GA0VG7AN,,LAENGS,0,
GA0VG7AN,,QUER,130101310000000,
GA0VG7AN,,HOCH,130111220000000,
GA0VG7AN,,BEWERT_D,1,
GA0VG7AN,,BEWERT_V,0,
GA0VG7AN,,BEWERT_S,0,
GA0VG7AN,,S_VERAEND,0,
GA0VG7AN,,BEMERK1,0,text
GA0VG7AN,,BEMERK2,0,text
GA0VG7AN,,BEMERK3,0,text
GA0VG7AN,,BEMERK4,0,text
GA0VG7AN,,BEMERK5,0,text
GA0VG7AN,,BEMERK6,0,text
GA0VG7AN,,BWNR,B115,
GA0VG7AN,,TEIL_BWNR,0,
GA0VG7AN,,IBWNR,B115,
GA0VG7AN,,IDENT,GA0VG7AN,
GA0VG7AN,,AMT,533,text
GA0VG7AN,,PRUFJAHR,2022,year
GA0VG7AN,,PRA,E,
GA0VG7AN,,TEXT,"Linker Längsträger. Die Hohlstellen liegen im Bereich einer augenscheinlichen Schüttlage
Bei EP2022 nicht erreicht und geprüft.
",text
GA0VG7AN,,BILD,\HOHLSTELLE.JPG,
GA0VG7AN,,KONT_JN,2,
GA0VG7AN,,NOT_KONST,0,
GA0VG7AN,,KONVERT,0,
GA0VG7AN,,SCHAD_ID,34.0,
GA0VG7AN,,BSP_ID,002-01,
GA0VG7AN,,BAUTLGRUP,390021100000000,
GA0VG7AN,,DETAILKONT,0,
ZO1179G3,,ID_NR,B115    0,
ZO1179G3,,BAUTEIL,130011151000000,
ZO1179G3,,KONTEIL,0,
ZO1179G3,,ZWGRUPPE,130031100000000,
ZO1179G3,,SCHADEN,130046120000000,
ZO1179G3,,MENGE_ALL,130052400000000,
ZO1179G3,,MENGE_DI,0,
ZO1179G3,,UEBERBAU,130071000000000,
ZO1179G3,,FELD,0,
ZO1179G3,,LAENGS,0,
ZO1179G3,,QUER,0,
ZO1179G3,,HOCH,0,
ZO1179G3,,BEWERT_D,1,
ZO1179G3,,BEWERT_V,0,
ZO1179G3,,BEWERT_S,0,
ZO1179G3,,S_VERAEND,0,
ZO1179G3,,BEMERK1,0,text
ZO1179G3,,BEMERK2,0,text
ZO1179G3,,BEMERK3,0,text
ZO1179G3,,BEMERK4,0,text
ZO1179G3,,BEMERK5,0,text
ZO1179G3,,BEMERK6,0,text
ZO1179G3,,BWNR,B115,
ZO1179G3,,TEIL_BWNR,0,
ZO1179G3,,IBWNR,B115,
ZO1179G3,,IDENT,ZO1179G3,
ZO1179G3,,AMT,533,text
ZO1179G3,,PRUFJAHR,2013,year
ZO1179G3,,PRA,H,
ZO1179G3,,TEXT,punktuell an Schalankerstellen,text
ZO1179G3,,BILD,\RESTE ANSCHLUSSANKER 2013.JPG,
ZO1179G3,,KONT_JN,2,
ZO1179G3,,NOT_KONST,0,
ZO1179G3,,KONVERT,0,
ZO1179G3,,SCHAD_ID,123.0,
ZO1179G3,,BSP_ID,002-99,
ZO1179G3,,BAUTLGRUP,390021100000000,
ZO1179G3,,DETAILKONT,0,
GN10QNH6,,ID_NR,B115    0,
GN10QNH6,,LFDNR,78.0,
GN10QNH6,,BAUTEIL,0,
GN10QNH6,,KONTEIL,130021800000000,
GN10QNH6,,ZWGRUPPE,130031100000000,
GN10QNH6,,SCHADEN,130045120000000,
GN10QNH6,,MENGE_ALL,130053200000000,
GN10QNH6,,MENGE_DI,0,
GN10QNH6,,UEBERBAU,130071000000000,
GN10QNH6,,FELD,0,
GN10QNH6,,LAENGS,0,
GN10QNH6,,QUER,130101100000000,
GN10QNH6,,HOCH,0,
GN10QNH6,,BEWERT_D,1,
GN10QNH6,,BEWERT_V,0,
GN10QNH6,,BEWERT_S,0,
GN10QNH6,,S_VERAEND,0,
GN10QNH6,,BEMERK1,0,text
GN10QNH6,,BEMERK2,0,text
GN10QNH6,,BEMERK3,0,text
GN10QNH6,,BEMERK4,0,text
GN10QNH6,,BEMERK5,0,text
GN10QNH6,,BEMERK6,0,text
GN10QNH6,,BWNR,B115,
GN10QNH6,,TEIL_BWNR,0,
GN10QNH6,,IBWNR,B115,
GN10QNH6,,IDENT,GN10QNH6,
GN10QNH6,,AMT,533,text
GN10QNH6,,PRUFJAHR,2022,year
GN10QNH6,,PRA,E,
GN10QNH6,,TEXT,an Schacht,text
GN10QNH6,,BILD,\EP2022--S107.JPG,
GN10QNH6,,KONT_JN,2,
GN10QNH6,,NOT_KONST,0,
GN10QNH6,,KONVERT,0,
GN10QNH6,,SCHAD_ID,107.0,
GN10QNH6,,BSP_ID,230-04,
GN10QNH6,,BAUTLGRUP,390022180000000,
GN10QNH6,,DETAILKONT,0,
GN13XN6S,,ID_NR,B115    0,
GN13XN6S,,LFDNR,56.0,
GN13XN6S,,BAUTEIL,130011151000000,
GN13XN6S,,KONTEIL,130021800000000,
GN13XN6S,,ZWGRUPPE,130031100000000,
GN13XN6S,,SCHADEN,130043323000000,
GN13XN6S,,MENGE_ALL,130052600000000,
GN13XN6S,,MENGE_DI,0,
GN13XN6S,,UEBERBAU,130071000000000,
GN13XN6S,,FELD,0,
GN13XN6S,,LAENGS,130091300000000,
GN13XN6S,,QUER,130101100000000,
GN13XN6S,,HOCH,0,
GN13XN6S,,BEWERT_D,1,
GN13XN6S,,BEWERT_V,0,
GN13XN6S,,BEWERT_S,0,
GN13XN6S,,S_VERAEND,0,
GN13XN6S,,BEMERK1,0,text
GN13XN6S,,BEMERK2,0,text
GN13XN6S,,BEMERK3,0,text
GN13XN6S,,BEMERK4,0,text
GN13XN6S,,BEMERK5,0,text
GN13XN6S,,BEMERK6,0,text
GN13XN6S,,BWNR,B115,
GN13XN6S,,TEIL_BWNR,0,
GN13XN6S,,IBWNR,B115,
GN13XN6S,,IDENT,GN13XN6S,
GN13XN6S,,AMT,533,text
GN13XN6S,,PRUFJAHR,2022,year
GN13XN6S,,PRA,E,
GN13XN6S,,TEXT, ,text
GN13XN6S,,BILD,\EP2022--S78.JPG,
GN13XN6S,,KONT_JN,2,
GN13XN6S,,NOT_KONST,0,
GN13XN6S,,KONVERT,0,
GN13XN6S,,SCHAD_ID,78.0,
GN13XN6S,,BSP_ID,230-09,
GN13XN6S,,BAUTLGRUP,390022180000000,
GN13XN6S,,DETAILKONT,0,
GN13YBHE,,ID_NR,B115    0,
GN13YBHE,,LFDNR,55.0,
GN13YBHE,,BAUTEIL,130011151000000,
GN13YBHE,,KONTEIL,130021800000000,
GN13YBHE,,ZWGRUPPE,130031100000000,
GN13YBHE,,SCHADEN,130044320000000,
GN13YBHE,,MENGE_ALL,130051800000000,
GN13YBHE,,MENGE_DI,0,
GN13YBHE,,UEBERBAU,130071000000000,
GN13YBHE,,FELD,0,
GN13YBHE,,LAENGS,0,
GN13YBHE,,QUER,130101300000000,
GN13YBHE,,HOCH,0,
GN13YBHE,,BEWERT_D,1,
GN13YBHE,,BEWERT_V,0,
GN13YBHE,,BEWERT_S,0,
GN13YBHE,,S_VERAEND,0,
GN13YBHE,,BEMERK1,0,text
GN13YBHE,,BEMERK2,0,text
GN13YBHE,,BEMERK3,0,text
GN13YBHE,,BEMERK4,0,text
GN13YBHE,,BEMERK5,0,text
GN13YBHE,,BEMERK6,0,text
GN13YBHE,,BWNR,B115,
GN13YBHE,,TEIL_BWNR,0,
GN13YBHE,,IBWNR,B115,
GN13YBHE,,IDENT,GN13YBHE,
GN13YBHE,,AMT,533,text
GN13YBHE,,PRUFJAHR,2022,year
GN13YBHE,,PRA,E,
GN13YBHE,,TEXT, ,text
GN13YBHE,,BILD,\EP2022--S77.JPG,
GN13YBHE,,KONT_JN,2,
GN13YBHE,,NOT_KONST,0,
GN13YBHE,,KONVERT,0,
GN13YBHE,,SCHAD_ID,77.0,
GN13YBHE,,BSP_ID,230-08,
GN13YBHE,,BAUTLGRUP,390022180000000,
GN13YBHE,,DETAILKONT,0,
GN13YZ1K,,ID_NR,B115    0,
GN13YZ1K,,LFDNR,57.0,
GN13YZ1K,,BAUTEIL,130011151000000,
GN13YZ1K,,KONTEIL,130021800000000,
GN13YZ1K,,ZWGRUPPE,130031100000000,
GN13YZ1K,,SCHADEN,130045411000000,
GN13YZ1K,,MENGE_ALL,130052400000000,
GN13YZ1K,,MENGE_DI,0,
GN13YZ1K,,UEBERBAU,130071000000000,
GN13YZ1K,,FELD,0,
GN13YZ1K,,LAENGS,130091400000000,
GN13YZ1K,,QUER,130101200000000,
GN13YZ1K,,HOCH,0,
GN13YZ1K,,BEWERT_D,1,
GN13YZ1K,,BEWERT_V,0,
GN13YZ1K,,BEWERT_S,0,
GN13YZ1K,,S_VERAEND,0,
GN13YZ1K,,BEMERK1,0,text
GN13YZ1K,,BEMERK2,0,text
GN13YZ1K,,BEMERK3,0,text
GN13YZ1K,,BEMERK4,0,text
GN13YZ1K,,BEMERK5,0,text
GN13YZ1K,,BEMERK6,0,text
GN13YZ1K,,BWNR,B115,
GN13YZ1K,,TEIL_BWNR,0,
GN13YZ1K,,IBWNR,B115,
GN13YZ1K,,IDENT,GN13YZ1K,
GN13YZ1K,,AMT,533,text
GN13YZ1K,,PRUFJAHR,2022,year
GN13YZ1K,,PRA,E,
GN13YZ1K,,TEXT,Kappenbereich Widerlager,text
GN13YZ1K,,BILD,\EP2022--S80.JPG,
GN13YZ1K,,KONT_JN,2,
GN13YZ1K,,NOT_KONST,0,
GN13YZ1K,,KONVERT,0,
GN13YZ1K,,SCHAD_ID,80.0,
GN13YZ1K,,BSP_ID,230-04,
GN13YZ1K,,BAUTLGRUP,390022180000000,
GN13YZ1K,,DETAILKONT,0,
GN1420OW,,ID_NR,B115    0,
GN1420OW,,LFDNR,9.0,
GN1420OW,,BAUTEIL,130011914000000,
GN1420OW,,KONTEIL,130021800000000,
GN1420OW,,ZWGRUPPE,130031100000000,
GN1420OW,,SCHADEN,130043343000000,
GN1420OW,,MENGE_ALL,130052400000000,
GN1420OW,,MENGE_DI,0,
GN1420OW,,UEBERBAU,130071000000000,
GN1420OW,,FELD,0,
GN1420OW,,LAENGS,130091400000000,
GN1420OW,,QUER,130101100000000,
GN1420OW,,HOCH,0,
GN1420OW,,BEWERT_D,1,
GN1420OW,,BEWERT_V,0,
GN1420OW,,BEWERT_S,0,
GN1420OW,,S_VERAEND,0,
GN1420OW,,BEMERK1,0,text
GN1420OW,,BEMERK2,0,text
GN1420OW,,BEMERK3,0,text
GN1420OW,,BEMERK4,0,text
GN1420OW,,BEMERK5,0,text
GN1420OW,,BEMERK6,0,text
GN1420OW,,BWNR,B115,
GN1420OW,,TEIL_BWNR,0,
GN1420OW,,IBWNR,B115,
GN1420OW,,IDENT,GN1420OW,
GN1420OW,,AMT,533,text
GN1420OW,,PRUFJAHR,2022,year
GN1420OW,,PRA,E,
GN1420OW,,TEXT,"sowie Hohlstellen. Bereich wurde verfült, Verfüllung liegt hohl und lokal gebrochen.",text
GN1420OW,,BILD,\EP2022--S74.JPG,
GN1420OW,,KONT_JN,2,
GN1420OW,,NOT_KONST,0,
GN1420OW,,KONVERT,0,
GN1420OW,,SCHAD_ID,74.0,
GN1420OW,,BSP_ID,230-09,
GN1420OW,,BAUTLGRUP,390022180000000,
GN1420OW,,DETAILKONT,0,
GN144X0F,,ID_NR,B115    0,
GN144X0F,,LFDNR,46.0,
GN144X0F,,BAUTEIL,130011151000000,
GN144X0F,,KONTEIL,130021830000000,
GN144X0F,,ZWGRUPPE,130031100000000,
GN144X0F,,SCHADEN,130045400000000,
GN144X0F,,MENGE_ALL,130053200000000,
GN144X0F,,MENGE_DI,0,
GN144X0F,,UEBERBAU,130071000000000,
GN144X0F,,FELD,0,
GN144X0F,,LAENGS,0,
GN144X0F,,QUER,130101300000000,
GN144X0F,,HOCH,0,
GN144X0F,,BEWERT_D,2,
GN144X0F,,BEWERT_V,0,
GN144X0F,,BEWERT_S,0,
GN144X0F,,S_VERAEND,0,
GN144X0F,,BEMERK1,0,text
GN144X0F,,BEMERK2,0,text
GN144X0F,,BEMERK3,0,text
GN144X0F,,BEMERK4,0,text
GN144X0F,,BEMERK5,0,text
GN144X0F,,BEMERK6,0,text
GN144X0F,,BWNR,B115,
GN144X0F,,TEIL_BWNR,0,
GN144X0F,,IBWNR,B115,
GN144X0F,,IDENT,GN144X0F,
GN144X0F,,AMT,533,text
GN144X0F,,PRUFJAHR,2022,year
GN144X0F,,PRA,E,
GN144X0F,,TEXT,"Bei EP2022 nicht erreicht und geprüft
Seitenflächen und Untersichten
Stellenweise mit Aussinterung.
, Maßnahme {3}",text
GN144X0F,,BILD,\RISSE AM GESIMS.JPG,
GN144X0F,,KONT_JN,2,
GN144X0F,,NOT_KONST,0,
GN144X0F,,KONVERT,0,
GN144X0F,,SCHAD_ID,39.0,
GN144X0F,,BSP_ID,230-06,
GN144X0F,,BAUTLGRUP,390022180000000,
GN144X0F,,DETAILKONT,0,
GN0VN66U,,ID_NR,B115    0,
GN0VN66U,,LFDNR,66.0,
GN0VN66U,,BAUTEIL,130011151000000,
GN0VN66U,,KONTEIL,0,
